P:edad,Capital,General Alvear,Guaymallen,Godoy Cruz,Las Heras,Junin,La Paz,Lavalle,Rivadavia,Lujan de Cuyo,Malargue,Maipu,San Carlos,San Martin,San Rafael,Santa Rosa,Tunuyan,Tupungato,,RESUMEN,
,,,,,,,,,,,,,,,,,,,,,
Edad,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,Casos,,Edad,Casos
48,1.087,493,2.919,1.897,2.246,437,106,348,563,1.338,309,1.895,310,1.324,1.912,162,441,338,,48,18.125
49,1.474,488,3.09,1.818,2.041,429,105,345,535,1.284,311,1.734,289,1.278,1.857,155,449,295,,49,17.977
50,1.198,501,2.914,2.089,2.104,402,110,295,529,1.137,309,1.706,305,889,2.04,154,463,288,,50,17.433
51,1.451,486,2.784,1.93,1.709,379,102,307,521,1.178,291,1.539,334,1.042,1.876,164,464,286,,51,16.843
52,1.165,485,2.812,2.159,1.876,386,101,326,538,1.193,271,1.421,287,1.243,1.894,145,460,248,,52,17.01
53,1.312,499,2.764,1.825,1.955,387,108,318,550,1.142,257,1.656,337,1.128,1.971,154,453,279,,53,17.095
54,1.109,494,2.699,1.989,1.939,384,99,289,542,1.003,274,1.627,308,1.227,1.932,156,463,290,,54,16.824
55,1.319,467,2.882,1.921,2.1,380,82,292,555,1.067,277,1.578,281,1.271,2.019,147,429,269,,55,17.336
56,1.356,524,2.575,1.791,1.991,379,86,296,533,1.027,216,1.486,294,1.142,1.878,161,452,254,,56,16.441
57,1.337,482,2.584,2.262,1.791,369,104,277,553,994,246,1.434,277,1.048,2.028,178,454,265,,57,16.683
58,1.113,474,2.741,2.103,1.99,358,88,246,506,1.151,241,1.499,291,1.101,1.908,122,433,206,,58,16.571
59,1.25,454,2.616,1.971,1.609,404,80,265,547,922,219,1.436,275,1.071,1.766,140,386,222,,59,15.633
60,1.305,468,2.882,2.073,1.807,362,92,248,532,1.143,198,1.537,255,1.198,1.804,162,376,228,,60,16.67
61,1.3,467,2.333,1.699,1.633,329,91,249,489,904,189,1.356,276,1.113,1.794,135,397,196,,61,14.95
62,1.217,471,2.489,1.912,1.33,315,69,246,503,912,179,1.269,248,1.024,1.598,123,365,211,,62,14.481
63,1.049,429,2.164,1.702,1.65,322,80,212,482,831,160,1.466,242,969,1.646,132,363,200,,63,14.099
64,1.024,454,2.164,1.729,1.468,303,80,202,448,797,147,1.194,228,790,1.518,117,344,184,,64,13.191
65,899,428,2.256,1.664,1.358,271,69,200,436,803,159,1.148,230,1.004,1.499,123,341,159,,65,13.047
66,1.052,430,2.044,1.71,1.319,279,66,179,425,769,136,1.114,207,792,1.453,116,301,154,,66,12.546
67,1.097,357,1.94,1.613,1.056,260,54,187,406,650,132,897,211,764,1.369,113,266,141,,67,11.513
68,767,384,1.731,1.277,1.15,242,73,135,402,630,117,958,207,612,1.276,105,248,142,,68,10.456
69,832,355,1.554,1.303,981,254,64,159,350,491,132,836,180,743,1.359,76,231,126,,69,10.026
70,851,369,1.551,1.24,1.096,229,54,149,418,593,104,823,170,883,1.284,95,261,112,,70,10.282
71,804,321,1.337,1.147,843,212,51,142,374,600,98,800,179,703,1.278,77,211,105,,71,9.282
72,784,328,1.558,999,708,201,51,127,306,533,94,760,136,720,1.075,71,201,88,,72,8.74
